source_table,source_columns,target_table,target_columns,constraint_name,source_module,target_module,relationship_label
cmms_jobcard_attendedby_dtl,JMA_SECTIONJOBNO,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_attendedby_dtl -> cmms_jobcard_mst
cmms_jobcard_awaitinginfo,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_AWAITINGINFO_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_awaitinginfo -> cmms_jobcard_mst
cmms_jobcard_cal_adjustments_dtl,JCAD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_CAL_ADJUSTMENTS_DTL_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_cal_adjustments_dtl -> cmms_jobcard_mst
cmms_jobcard_cal_dtl,JCD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_CAL_DTL_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_cal_dtl -> cmms_jobcard_mst
cmms_jobcard_cal_observations,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_cal_observations -> cmms_jobcard_mst
cmms_jobcard_cal_observations,TaskID,cmms_task_mst,TSK_ID,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST,Job Cards,Master Data / Lookup,cmms_jobcard_cal_observations -> cmms_task_mst
cmms_jobcard_contract_warranty_dtl,CWD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_CONTRACT_WARRANTY_DTL_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_contract_warranty_dtl -> cmms_jobcard_mst
cmms_jobcard_eq_used,JEU_EquipType|JEU_EquipId,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST,Job Cards,Equipment / Instruments,cmms_jobcard_eq_used -> cmms_eqip_mst
cmms_jobcard_eq_used,JEU_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_EQ_USED_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_eq_used -> cmms_jobcard_mst
cmms_jobcard_faulty_category,FaultyCategory|FaultyType,cmms_fault_mst,FM_FAULT_ID|FM_TYPE,FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST,Job Cards,Job Cards,cmms_jobcard_faulty_category -> cmms_fault_mst
