table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
cmms_jobcard_faulty_category,FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST,INDEX,FaultyCategory|FaultyType,YES,"ADD KEY `FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST` (`FaultyCategory`,`FaultyType`)",Job Cards
cmms_jobcard_faulty_section,PRIMARY,PRIMARY,JobcardNumber|FaultyType|FaultySection,NO,"ADD PRIMARY KEY (`JobcardNumber`,`FaultyType`,`FaultySection`)",Job Cards
cmms_jobcard_faulty_section,FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST,INDEX,FaultySection|FaultyType,YES,"ADD KEY `FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST` (`FaultySection`,`FaultyType`)",Job Cards
cmms_jobcard_inspection_info,PRIMARY,PRIMARY,JobcardNumber,NO,ADD PRIMARY KEY (`JobcardNumber`),Job Cards
cmms_jobcard_mst,PRIMARY,PRIMARY,JM_SectionJobNo,NO,ADD PRIMARY KEY (`JM_SectionJobNo`),Job Cards
cmms_jobcard_mst,FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST,INDEX,JM_EQM_TYPE|JM_EQM_ID,YES,"ADD KEY `FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST` (`JM_EQM_TYPE`,`JM_EQM_ID`)",Job Cards
cmms_jobcard_mst,idx_jc_status,INDEX,JM_MVP_STATUS,YES,ADD KEY `idx_jc_status` (`JM_MVP_STATUS`),Job Cards
cmms_jobcard_mst,idx_jc_recd_date,INDEX,JM_JCRecdDate,YES,ADD KEY `idx_jc_recd_date` (`JM_JCRecdDate`),Job Cards
cmms_jobcard_mst,idx_jc_list_default,INDEX,JM_MVP_STATUS|JM_CREATED_ON|JM_JobCardNO,YES,"ADD KEY `idx_jc_list_default` (`JM_MVP_STATUS`,`JM_CREATED_ON`,`JM_JobCardNO`)",Job Cards
cmms_jobcard_mst,idx_jc_due_date,INDEX,JM_PlannedComletedDate|JM_MVP_STATUS,YES,"ADD KEY `idx_jc_due_date` (`JM_PlannedComletedDate`,`JM_MVP_STATUS`)",Job Cards
cmms_jobcard_mst_history,PRIMARY,PRIMARY,HistoryId,NO,ADD PRIMARY KEY (`HistoryId`),Job Cards
cmms_jobcard_repair_info,PRIMARY,PRIMARY,JobcardNumber,NO,ADD PRIMARY KEY (`JobcardNumber`),Job Cards
cmms_jobcard_request_info,PRIMARY,PRIMARY,JRI_JobCardNo,NO,ADD PRIMARY KEY (`JRI_JobCardNo`),Job Cards
cmms_jobcard_request_item_dtl,PRIMARY,PRIMARY,JR_SECTIONJOBNO|JR_ITEM_ID,NO,"ADD PRIMARY KEY (`JR_SECTIONJOBNO`,`JR_ITEM_ID`)",Job Cards
cmms_jobcard_spares_equip,PRIMARY,PRIMARY,JobcardNumber|Sr_No,NO,"ADD PRIMARY KEY (`JobcardNumber`,`Sr_No`)",Job Cards
cmms_jobcard_spares_equip,IX_CMMS_JOBCARD_SPARES_EQUIP,UNIQUE,JobcardNumber|FaultyDevice|PartNo,NO,"ADD UNIQUE KEY `IX_CMMS_JOBCARD_SPARES_EQUIP` (`JobcardNumber`,`FaultyDevice`,`PartNo`)",Job Cards
cmms_jobcard_status_hist,FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST,INDEX,JH_SectionJobNo,YES,ADD KEY `FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST` (`JH_SectionJobNo`),Job Cards
cmms_jobrequest_item_dtl,PRIMARY,PRIMARY,JR_JOBREQUESTNO|JR_ITEM_ID,NO,"ADD PRIMARY KEY (`JR_JOBREQUESTNO`,`JR_ITEM_ID`)",Job Requests
cmms_jobrequest_mst,PRIMARY,PRIMARY,JR_JOBREQUESTNO,NO,ADD PRIMARY KEY (`JR_JOBREQUESTNO`),Job Requests
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST,INDEX,JR_DIVISION,YES,ADD KEY `FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST` (`JR_DIVISION`),Job Requests
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST,INDEX,JR_EQM_TYPE|JR_EQM_ID,YES,"ADD KEY `FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST` (`JR_EQM_TYPE`,`JR_EQM_ID`)",Job Requests
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST,INDEX,JR_SECTIONJOB_NO,YES,ADD KEY `FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST` (`JR_SECTIONJOB_NO`),Job Requests
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST,INDEX,JR_INST_TYPE,YES,ADD KEY `FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST` (`JR_INST_TYPE`),Job Requests
cmms_jobrequest_mst,idx_jr_status,INDEX,JR_MVP_STATUS,YES,ADD KEY `idx_jr_status` (`JR_MVP_STATUS`),Job Requests
cmms_jobrequest_mst,idx_jr_priority,INDEX,JR_PRIORITY|JR_MVP_STATUS,YES,"ADD KEY `idx_jr_priority` (`JR_PRIORITY`,`JR_MVP_STATUS`)",Job Requests
cmms_jobrequest_mst,idx_jr_assigned_eng,INDEX,JR_ASSIGNED_ENGINEER,YES,ADD KEY `idx_jr_assigned_eng` (`JR_ASSIGNED_ENGINEER`),Job Requests
cmms_jobrequest_mst,idx_jr_list_default,INDEX,JR_MVP_STATUS|JR_CREATED_AT|JR_JOBREQUESTNO,YES,"ADD KEY `idx_jr_list_default` (`JR_MVP_STATUS`,`JR_CREATED_AT`,`JR_JOBREQUESTNO`)",Job Requests
cmms_jobrequest_mst,idx_jr_owner_created,INDEX,JR_SUBMITTEDBYID|JR_CREATED_AT,YES,"ADD KEY `idx_jr_owner_created` (`JR_SUBMITTEDBYID`,`JR_CREATED_AT`)",Job Requests
cmms_jobrequest_mst,idx_jr_division_created,INDEX,JR_DIVISION|JR_CREATED_AT,YES,"ADD KEY `idx_jr_division_created` (`JR_DIVISION`,`JR_CREATED_AT`)",Job Requests
cmms_jobrequest_mst,idx_jr_priority_status_created,INDEX,JR_PRIORITY|JR_MVP_STATUS|JR_CREATED_AT,YES,"ADD KEY `idx_jr_priority_status_created` (`JR_PRIORITY`,`JR_MVP_STATUS`,`JR_CREATED_AT`)",Job Requests
cmms_jobrequest_mst,idx_jr_jobtype_created,INDEX,JR_JOB_TYPE|JR_CREATED_AT,YES,"ADD KEY `idx_jr_jobtype_created` (`JR_JOB_TYPE`,`JR_CREATED_AT`)",Job Requests
cmms_jobrequest_project_dtl,PRIMARY,PRIMARY,JR_JOBREQUESTNO|JR_PROJECTID,NO,"ADD PRIMARY KEY (`JR_JOBREQUESTNO`,`JR_PROJECTID`)",Job Requests
cmms_jobrequest_project_dtl,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST,INDEX,JR_PROJECTID,YES,ADD KEY `FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST` (`JR_PROJECTID`),Job Requests
cmms_lineitem_mst,PRIMARY,PRIMARY,LITM_ID,NO,ADD PRIMARY KEY (`LITM_ID`),Master Data / Lookup
cmms_parameter_master,PRIMARY,PRIMARY,CategoryID|SrID,NO,"ADD PRIMARY KEY (`CategoryID`,`SrID`)",Master Data / Lookup
cmms_parameter_master,idx_pm_category_order,INDEX,CategoryID|display_order,YES,"ADD KEY `idx_pm_category_order` (`CategoryID`,`display_order`)",Master Data / Lookup
cmms_po_item_dtl,FK_CMMS_PO_ITEM_DTL_CMMS_DEVICE_SPARES_MST,INDEX,POI_ITEM_TYPE,YES,ADD KEY `FK_CMMS_PO_ITEM_DTL_CMMS_DEVICE_SPARES_MST` (`POI_ITEM_TYPE`),Procurement / AMC / Inventory
cmms_po_item_dtl,FK_CMMS_PO_ITEM_DTL_CMMS_PO_MST,INDEX,POI_ID,YES,ADD KEY `FK_CMMS_PO_ITEM_DTL_CMMS_PO_MST` (`POI_ID`),Procurement / AMC / Inventory
cmms_po_mst,PRIMARY,PRIMARY,PO_ID,NO,ADD PRIMARY KEY (`PO_ID`),Procurement / AMC / Inventory
cmms_po_payment_dtl,FK_CMMS_PO_PAYMENT_DTL_CMMS_PO_MST,INDEX,POP_ID,YES,ADD KEY `FK_CMMS_PO_PAYMENT_DTL_CMMS_PO_MST` (`POP_ID`),Procurement / AMC / Inventory
cmms_po_receive_dtl,FK_CMMS_PO_RECEIVE_DTL_CMMS_PO_MST,INDEX,POR_ID,YES,ADD KEY `FK_CMMS_PO_RECEIVE_DTL_CMMS_PO_MST` (`POR_ID`),Procurement / AMC / Inventory
cmms_product_mst,PRIMARY,PRIMARY,PROD_ID,NO,ADD PRIMARY KEY (`PROD_ID`),Master Data / Lookup
cmms_proj_mst,PRIMARY,PRIMARY,PR_ID,NO,ADD PRIMARY KEY (`PR_ID`),Master Data / Lookup
cmms_pur_dtl,PRIMARY,PRIMARY,PUD_NO|PUD_PARTNO,NO,"ADD PRIMARY KEY (`PUD_NO`,`PUD_PARTNO`)",Procurement / AMC / Inventory
