table,row_count_inserted,column_count,primary_key,foreign_key_count,foreign_keys,index_count,indexes,unique_key_count,unique_keys
cmms_eqip_mst,5704,47,"EQM_TYPE,EQM_ID",5,FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST:(EQM_PMCHKLSTNO)->cmms_checklist_mst(CHKL_ID); FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST1:(EQM_CALCHKLSTNO)->cmms_checklist_mst(CHKL_ID); FK_CMMS_EQIP_MST_CMMS_CONT_MST:(EQM_MFRID)->cmms_cont_mst(CMM_CONT_ID); FK_CMMS_EQIP_MST_CMMS_PRODUCT_MST:(EQM_INST_TYPE)->cmms_product_mst(PROD_ID); FK_CMMS_EQIP_MST_CMMS_SECTION_MST:(EQM_DIVID)->cmms_section_mst(SM_ID),5,FK_CMMS_EQIP_MST_CMMS_SECTION_MST:(EQM_DIVID); FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST:(EQM_PMCHKLSTNO); FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST1:(EQM_CALCHKLSTNO); FK_CMMS_EQIP_MST_CMMS_CONT_MST:(EQM_MFRID); FK_CMMS_EQIP_MST_CMMS_PRODUCT_MST:(EQM_INST_TYPE),0,
cmms_eqip_mst_hist,519,49,EQM_HIST_ID,0,,0,,0,
cmms_eqipinst_identification,2286,10,"EMD_EQIP_TYPE,EQM_ID,EII_ID",1,"FK_CMMS_EQIPINST_IDENTIFICATION_CMMS_EQIP_MST:(EMD_EQIP_TYPE,EQM_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID)",0,,0,
cmms_fault_mst,30,8,"FM_FAULT_ID,FM_TYPE",0,,0,,0,
cmms_ins_accuracy_info,1501,5,"EIA_INS_ID,EIA_TYPE,EIA_ACCURACY",1,"FK_CMMS_INS_ACCURACY_INFO_CMMS_EQIP_MST:(EIA_TYPE,EIA_INS_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID)",1,"FK_CMMS_INS_ACCURACY_INFO_CMMS_EQIP_MST:(EIA_TYPE,EIA_INS_ID)",0,
cmms_inv_mst,42,29,INV_PARTNO,2,FK_CMMS_INV_MST_CMMS_CONT_MST:(INV_MCODE)->cmms_cont_mst(CMM_CONT_ID); FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST:(INV_INTLSPARESID)->cmms_device_spares_mst(DS_ID),2,FK_CMMS_INV_MST_CMMS_CONT_MST:(INV_MCODE); FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST:(INV_INTLSPARESID),0,
cmms_jobcard_attendedby_dtl,27890,4,"JMA_SECTIONJOBNO,JMA_USERID,JMA_ISAWAITING",2,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST:(JMA_USERID)->cmms_emp_mst(EMM_ID); FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_JOBCARD_MST:(JMA_SECTIONJOBNO)->cmms_jobcard_mst(JM_SectionJobNo),1,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST:(JMA_USERID),0,
cmms_jobcard_awaitinginfo,7261,19,JobcardNumber,1,FK_CMMS_JOBCARD_AWAITINGINFO_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_cal_adjustments_dtl,1831,6,"JCAD_JobCardNo,JCAD_Parameter,JCAD_TestValue",1,FK_CMMS_JOBCARD_CAL_ADJUSTMENTS_DTL_CMMS_JOBCARD_MST:(JCAD_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_cal_dtl,9065,21,JCD_JobCardNo,1,FK_CMMS_JOBCARD_CAL_DTL_CMMS_JOBCARD_MST:(JCD_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_cal_observations,77171,4,"JobcardNumber,TaskID",2,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo); FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST:(TaskID)->cmms_task_mst(TSK_ID),1,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST:(TaskID),0,
cmms_jobcard_contract_warranty_dtl,17225,17,CWD_JobCardNo,1,FK_CMMS_JOBCARD_CONTRACT_WARRANTY_DTL_CMMS_JOBCARD_MST:(CWD_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_eq_used,38316,4,"JEU_JobCardNo,JEU_EquipType,JEU_EquipId",2,"FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST:(JEU_EquipType,JEU_EquipId)->cmms_eqip_mst(EQM_TYPE,EQM_ID); FK_CMMS_JOBCARD_EQ_USED_CMMS_JOBCARD_MST:(JEU_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo)",1,"FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST:(JEU_EquipType,JEU_EquipId)",0,
cmms_jobcard_faulty_category,8605,3,"JobcardNumber,FaultyType,FaultyCategory",2,"FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST:(FaultyCategory,FaultyType)->cmms_fault_mst(FM_FAULT_ID,FM_TYPE); FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo)",1,"FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST:(FaultyCategory,FaultyType)",0,
cmms_jobcard_faulty_section,8131,3,"JobcardNumber,FaultyType,FaultySection",2,"FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST:(FaultySection,FaultyType)->cmms_fault_mst(FM_FAULT_ID,FM_TYPE); FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo)",1,"FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST:(FaultySection,FaultyType)",0,
cmms_jobcard_insp_maint_dtl,0,6,JMD_JobCardNo,1,FK_CMMS_JOBCARD_INSP_MAINT_DTL_CMMS_JOBCARD_MST:(JMD_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_inspection_info,2214,21,JobcardNumber,1,FK_CMMS_JOBCARD_INSPECTION_INFO_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_mst,19432,34,JM_SectionJobNo,1,"FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST:(JM_EQM_TYPE,JM_EQM_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID)",1,"FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST:(JM_EQM_TYPE,JM_EQM_ID)",0,
cmms_jobcard_mst_history,22143,37,HistoryId,0,,0,,0,
cmms_jobcard_repair_info,8118,18,JobcardNumber,1,FK_CMMS_JOBCARD_REPAIR_INFO_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_request_info,19432,27,JRI_JobCardNo,1,FK_CMMS_JOBCARD_REQUEST_INFO_CMMS_JOBCARD_MST:(JRI_JobCardNo)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_request_item_dtl,11064,10,"JR_SECTIONJOBNO,JR_ITEM_ID",1,FK_CMMS_JOBCARD_REQUEST_ITEM_DTL_CMMS_JOBCARD_MST:(JR_SECTIONJOBNO)->cmms_jobcard_mst(JM_SectionJobNo),0,,0,
cmms_jobcard_request_project_dtl,22316,2,"JRP_JOBCARDNO,JRP_PROJECTID",2,FK_CMMS_JOBCARD_REQUEST_PROJECT_DTL_CMMS_JOBCARD_MST:(JRP_JOBCARDNO)->cmms_jobcard_mst(JM_SectionJobNo); FK_CMMS_JOBCARD_REQUEST_PROJECT_DTL_CMMS_PROJ_MST:(JRP_PROJECTID)->cmms_proj_mst(PR_ID),1,FK_CMMS_JOBCARD_REQUEST_PROJECT_DTL_CMMS_PROJ_MST:(JRP_PROJECTID),0,
cmms_jobcard_spares_equip,2804,9,"JobcardNumber,Sr_No",1,FK_CMMS_JOBCARD_SPARES_EQUIP_CMMS_JOBCARD_MST:(JobcardNumber)->cmms_jobcard_mst(JM_SectionJobNo),0,,1,"IX_CMMS_JOBCARD_SPARES_EQUIP:(JobcardNumber,FaultyDevice,PartNo)"
cmms_jobcard_status_hist,22214,5,,1,FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST:(JH_SectionJobNo)->cmms_jobcard_mst(JM_SectionJobNo),1,FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST:(JH_SectionJobNo),0,
cmms_jobrequest_item_dtl,7786,11,"JR_JOBREQUESTNO,JR_ITEM_ID",1,FK_CMMS_JOBREQUEST_ITEM_DTL_CMMS_JOBREQUEST_MST:(JR_JOBREQUESTNO)->cmms_jobrequest_mst(JR_JOBREQUESTNO),0,,0,
cmms_jobrequest_mst,21485,37,JR_JOBREQUESTNO,4,"FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST:(JR_EQM_TYPE,JR_EQM_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID); FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST:(JR_SECTIONJOB_NO)->cmms_jobcard_mst(JM_SectionJobNo); FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST:(JR_INST_TYPE)->cmms_product_mst(PROD_ID); FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST:(JR_DIVISION)->cmms_section_mst(SM_ID)",4,"FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST:(JR_DIVISION); FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST:(JR_EQM_TYPE,JR_EQM_ID); FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST:(JR_SECTIONJOB_NO); FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST:(JR_INST_TYPE)",0,
cmms_jobrequest_project_dtl,19624,2,"JR_JOBREQUESTNO,JR_PROJECTID",2,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_JOBREQUEST_MST:(JR_JOBREQUESTNO)->cmms_jobrequest_mst(JR_JOBREQUESTNO); FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST:(JR_PROJECTID)->cmms_proj_mst(PR_ID),1,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST:(JR_PROJECTID),0,
cmms_lineitem_mst,24,9,LITM_ID,0,,0,,0,
cmms_module_mst,163,13,MOD_ID,1,FK_CMMS_MODULE_MST_CMMS_MODULE_MST:(MOD_PARENT_ID)->cmms_module_mst(MOD_ID),1,FK_CMMS_MODULE_MST_CMMS_MODULE_MST:(MOD_PARENT_ID),0,
cmms_parameter_master,337,4,,0,,0,,0,
cmms_parameter_master_bkp,4,4,,0,,0,,0,
cmms_parameter_master_incharge,9,4,,0,,0,,0,
cmms_parameter_master_jun2016,233,4,,0,,0,,0,
cmms_po_mst,115,16,PO_ID,0,,0,,0,
cmms_product_mst,32,11,PROD_ID,0,,0,,0,
cmms_proj_mst,182,7,PR_ID,0,,0,,0,
cmms_pur_dtl,0,13,"PUD_NO,PUD_PARTNO",1,FK_CMMS_PUR_DTL_CMMS_PUR_MST:(PUD_NO)->cmms_pur_mst(PUM_NO),0,,0,
cmms_pur_mst,0,22,PUM_NO,0,,0,,0,
cmms_role_mst,23,7,ROLE_ID,0,,0,,0,
cmms_schedule_eqip_dtl,316,5,"SC_PLAN_ID,SC_TYPE,SC_EQM_ID,SC_EQM_TYPE,SC_SCHEDULE_DATE",2,"FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST:(SC_EQM_TYPE,SC_EQM_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID); FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_SCHEDULE_MST:(SC_PLAN_ID,SC_TYPE)->cmms_schedule_mst(SC_PLAN_ID,SC_TYPE)",1,"FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST:(SC_EQM_TYPE,SC_EQM_ID)",0,
cmms_schedule_mst,6,8,"SC_PLAN_ID,SC_TYPE",1,FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST:(SC_SM_ID)->cmms_section_mst(SM_ID),1,FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST:(SC_SM_ID),0,
cmms_section_mst,293,14,SM_ID,0,,0,,0,
cmms_section_user_mst,294,4,"SM_ID,SM_USER_ID",2,FK_CMMS_SECTION_USER_MST_CMMS_ROLE_MST:(SM_USER_ROLE)->cmms_role_mst(ROLE_ID); FK_CMMS_SECTION_USER_MST_CMMS_SECTION_MST:(SM_ID)->cmms_section_mst(SM_ID),1,FK_CMMS_SECTION_USER_MST_CMMS_ROLE_MST:(SM_USER_ROLE),0,
cmms_task_mst,1489,11,TSK_ID,0,,0,,0,
cmms_userrole_mst,565,9,"USER_ID,USER_DIVISION_ID",0,,0,,0,
